,Year,Sex,Fatal Y/N,Country,Type
425,2021,f,n,USA,UNPROVOKED
426,2021,m,y,USA,UNPROVOKED
427,2021,m,y,BRAZIL,UNPROVOKED
428,2021,m,n,AUSTRALIA,UNPROVOKED
429,2021,m,n,USA,UNPROVOKED
430,2021,f,n,USA,PROVOKED
431,2021,m,n,ECUADOR,UNPROVOKED
432,2021,m,n,USA,UNPROVOKED
434,2021,f,n,USA,UNPROVOKED
435,2021,m,n,USA,UNPROVOKED
436,2021,m,n,JORDAN,UNPROVOKED
437,2021,m,n,AUSTRALIA,UNPROVOKED
438,2021,m,n,USA,UNPROVOKED
439,2021,m,n,USA,UNPROVOKED
440,2021,m,n,USA,UNPROVOKED
441,2021,m,n,USA,UNPROVOKED
442,2021,m,n,ENGLAND,PROVOKED
443,2021,m,n,AUSTRALIA,UNPROVOKED
444,2021,m,y,NEW CALEDONIA,PROVOKED
445,2021,m,n,USA,UNPROVOKED
446,2021,m,n,AUSTRALIA,UNPROVOKED
447,2021,m,y,AUSTRALIA,UNPROVOKED
448,2021,m,n,USA,UNPROVOKED
449,2021,m,n,BELIZE,PROVOKED
450,2021,f,n,USA,UNPROVOKED
451,2021,m,n,USA,UNPROVOKED
452,2021,m,y,JAMAICA,UNPROVOKED
453,2021,f,n,USA,UNPROVOKED
454,2021,m,n,USA,UNPROVOKED
455,2021,m,n,FRENCH POLYNESIA,UNPROVOKED
456,2021,m,y,NEW CALEDONIA,UNPROVOKED
457,2021,f,n,USA,UNPROVOKED
458,2021,m,n,AUSTRALIA,UNPROVOKED
460,2021,m,n,SOUTH AFRICA,UNPROVOKED
461,2021,m,y,SOUTH AFRICA,UNPROVOKED
462,2021,m,n,USA,UNPROVOKED
463,2021,m,n,USA,UNPROVOKED
464,2021,m,n,AUSTRALIA,UNPROVOKED
465,2021,m,n,FRENCH POLYNESIA,UNPROVOKED
466,2021,f,n,USA,UNPROVOKED
467,2021,m,n,USA,UNPROVOKED
468,2021,m,n,USA,UNPROVOKED
469,2021,m,n,AUSTRALIA,UNPROVOKED
470,2021,m,n,USA,UNPROVOKED
471,2021,m,n,NEW CALEDONIA,UNPROVOKED
472,2021,m,y,NEW CALEDONIA,UNPROVOKED
473,2021,m,n,AUSTRALIA,PROVOKED
474,2021,m,n,USA,UNPROVOKED
475,2021,m,n,AUSTRALIA,WATERCRAFT
476,2021,m,n,USA,WATERCRAFT
477,2021,f,n,AUSTRALIA,UNPROVOKED
478,2021,m,n,NEW ZEALAND,UNPROVOKED
479,2021,m,n,AUSTRALIA,UNPROVOKED
481,2021,m,n,USA,UNPROVOKED
482,2021,m,y,AUSTRALIA,UNPROVOKED
483,2021,m,n,AUSTRALIA,UNPROVOKED
484,2021,m,n,BRAZIL,UNPROVOKED
485,2021,m,n,AUSTRALIA,UNPROVOKED
486,2021,m,n,AUSTRALIA,UNPROVOKED
487,2021,f,n,ST KITTS / NEVIS,UNPROVOKED
488,2021,f,y,NEW ZEALAND,UNPROVOKED
489,2021,m,n,USA,UNPROVOKED
490,2021,m,n,USA,UNPROVOKED
491,2021,f,n,USA,UNPROVOKED
492,2020,m,n,USA,UNPROVOKED
493,2020,m,n,MALDIVES,UNPROVOKED
494,2020,f,y,ST MARTIN,UNPROVOKED
495,2020,m,n,AUSTRALIA,UNPROVOKED
496,2020,m,y,USA,UNPROVOKED
497,2020,m,n,USA,UNPROVOKED
498,2020,m,n,AUSTRALIA,UNPROVOKED
499,2020,f,n,EGYPT,UNPROVOKED
500,2020,f,n,USA,UNPROVOKED
501,2020,f,n,NEW CALEDONIA,UNPROVOKED
502,2020,m,y,AUSTRALIA,UNPROVOKED
503,2020,m,n,AUSTRALIA,UNPROVOKED
504,2020,m,n,USA,UNPROVOKED
505,2020,m,n,BAHAMAS,UNPROVOKED
506,2020,m,n,USA,UNPROVOKED
508,2020,m,n,AUSTRALIA,UNPROVOKED
509,2020,m,n,USA,
510,2020,m,y,AUSTRALIA,UNPROVOKED
511,2020,m,n,USA,UNPROVOKED
512,2020,m,n,AUSTRALIA,UNPROVOKED
513,2020,m,n,USA,PROVOKED
514,2020,f,n,USA,
515,2020,m,n,USA,UNPROVOKED
516,2020,m,n,AUSTRALIA,PROVOKED
517,2020,m,n,AUSTRALIA,UNPROVOKED
518,2020,m,n,USA,
519,2020,m,n,USA,UNPROVOKED
520,2020,m,n,USA,UNPROVOKED
521,2020,m,n,USA,
522,2020,m,y,AUSTRALIA,UNPROVOKED
523,2020,f,n,USA,UNPROVOKED
524,2020,m,n,USA,UNPROVOKED
526,2020,m,n,USA,UNPROVOKED
527,2020,m,n,USA,UNPROVOKED
528,2020,m,n,USA,UNPROVOKED
529,2020,m,n,USA,UNPROVOKED
530,2020,f,n,USA,UNPROVOKED
531,2020,f,n,USA,
532,2020,f,n,AUSTRALIA,UNPROVOKED
533,2020,m,n,USA,PROVOKED
534,2020,f,n,USA,UNPROVOKED
